year;number;error
2014;206;Error: Request failed with status code 404
2014;353;Error: Request failed with status code 404
2014;454;Error: Request failed with status code 404
2014;463;Error: Request failed with status code 404
2014;520;Error: Request failed with status code 404
2014;575;Error: Request failed with status code 404
2014;638;Error: Request failed with status code 404
2014;825;Error: Request failed with status code 404
2014;827;Error: Request failed with status code 404
2014;910;Error: Request failed with status code 404
2014;1151;Error: Request failed with status code 404
2014;1267;Error: Request failed with status code 404
2014;1354;Error: Request failed with status code 404
2014;1386;Error: Request failed with status code 404
2014;1387;Error: Request failed with status code 404
